drop_ratio,edge_util_std,frac_hot_switches,frac_saturated_edges,jain_fairness,max_edge_util,mean_edge_util,mean_hops,mean_latency,mean_switch_util,offered_load,p50_flow_rate,p95_flow_rate,p95_switch_util,policy,rate,sum_edge_cap,sum_edge_load,switch_util_gini,switch_util_std,throughput,topk_edge_load_share,topology,traffic_weighted_util,workload
0.9259,2.2778,0.7163,0.1738,0.8765,26.4691,0.6462,2.9981,3.9981,1.5046,6620088.3906,0.608,0.9392,2.915,eigrp_configuration,40,40960000.0,26467386.1739,0.3115,0.83,490815.0168,0.003,informed_leaf_spine,0.6462,random_workload
0.1563,0.3237,0.3646,0.0652,0.8373,2.8018,0.3231,2.9981,3.9981,0.7523,3310044.1953,3.5912,5.9186,1.4571,ospf_ecmp_configuration,20,40960000.0,13233693.087,0.3099,0.4087,2792817.7957,0.0006,informed_leaf_spine,0.3231,random_workload
0.5012,0.6473,0.7162,0.1724,0.8816,5.6035,0.6462,2.9981,3.9981,1.5046,6620088.3906,4.1165,6.6072,2.9142,ospf_ecmp_configuration,40,40960000.0,26467386.1739,0.3099,0.8174,3302017.5703,0.0006,informed_leaf_spine,0.6462,random_workload
0.1563,0.3173,0.3646,0.0652,0.8373,2.8018,0.3231,2.9981,3.9981,0.7523,3310044.1953,3.5912,5.9186,1.4571,eigrp_ecmp_configuration,20,40960000.0,13233693.087,0.3099,0.4087,2792818.1111,0.0006,informed_leaf_spine,0.3231,random_workload
0.5012,0.6347,0.7162,0.1566,0.8816,5.6035,0.6462,2.9981,3.9981,1.5046,6620088.3906,4.1165,6.6073,2.9142,eigrp_ecmp_configuration,40,40960000.0,26467386.1739,0.3099,0.8174,3302033.8793,0.0006,informed_leaf_spine,0.6462,random_workload
0.9476,1.5625,0.0064,0.0293,0.0792,65.9342,0.1557,4.8068,5.7793,0.157,662184.2172,0.0215,0.0359,0.1011,ospf_drill_configuration,4,24576000.0,3827419.0028,0.9688,2.4137,34673.1575,0.0522,fat_tree,0.1557,incast
0.9701,17.5754,0.0321,0.0461,0.0263,659.3422,1.5574,4.8068,5.7793,1.57,6621842.1715,0.0215,0.0359,0.4092,ospf_drill_configuration,40,24576000.0,38274190.0277,0.9724,24.1525,197787.424,0.0522,fat_tree,1.5574,incast
0.5433,0.7703,0.7832,0.7439,0.8979,5.6035,1.5983,4.9334,5.9334,1.6133,6620088.3906,3.8271,5.7845,2.9057,ospf_drill_configuration,40,24576000.0,39279324.0781,0.2771,0.7825,3023315.7241,0.0004,fat_tree,1.5983,random_workload
0.0433,0.0389,0.001,0.0003,0.8087,1.5806,0.0027,2.2771,3.2485,0.0045,20591.6892,0.1986,0.3444,0.0025,eigrp_ecmp_configuration,1,24576000.0,66967.3822,0.9881,0.056,19699.1825,0.0564,informed_fat_tree,0.0027,incast
0.1563,0.3236,0.3646,0.0652,0.8373,2.8018,0.3231,2.9981,3.9981,0.7523,3310044.1953,3.5912,5.9186,1.4571,ospf_drill_configuration,20,40960000.0,13233693.087,0.3099,0.4087,2792817.7417,0.0006,informed_leaf_spine,0.3231,random_workload
0.5012,0.6472,0.7162,0.1717,0.8816,5.6035,0.6462,2.9981,3.9981,1.5046,6620088.3906,4.1165,6.6072,2.9142,ospf_drill_configuration,40,40960000.0,26467386.1739,0.3099,0.8174,3302025.3066,0.0006,informed_leaf_spine,0.6462,random_workload
0.1563,0.3174,0.3646,0.0652,0.8373,2.8018,0.3231,2.9981,3.9981,0.7523,3310044.1953,3.5912,5.9186,1.4571,eigrp_drill_configuration,20,40960000.0,13233693.087,0.3099,0.4087,2792818.1111,0.0006,informed_leaf_spine,0.3231,random_workload
0.5012,0.6348,0.7162,0.1569,0.8816,5.6035,0.6462,2.9981,3.9981,1.5046,6620088.3906,4.1165,6.6073,2.9142,eigrp_drill_configuration,40,40960000.0,26467386.1739,0.3099,0.8174,3302033.7203,0.0006,informed_leaf_spine,0.6462,random_workload
0.1563,0.3294,0.3661,0.0653,0.8371,2.3961,0.2874,2.5495,3.5495,0.7494,3315705.4979,3.5943,5.9365,1.4588,conga_configuration,20,40960000.0,11770276.6259,0.3148,0.4133,2797410.764,0.0006,informed_leaf_spine,0.2874,local_group_workload
0.5011,0.6587,0.7011,0.1533,0.881,4.7922,0.5747,2.5495,3.5495,1.4989,6631410.9957,4.116,6.6334,2.9175,conga_configuration,40,40960000.0,23540553.2518,0.3148,0.8266,3308578.3336,0.0006,informed_leaf_spine,0.5747,local_group_workload
0.6625,0.9111,0.3662,0.0902,0.512,10.4204,0.2874,2.5495,3.5495,0.7494,3315705.4979,0.8602,4.6927,1.4592,rip_configuration,20,40960000.0,11770276.6259,0.316,0.4171,1119152.1444,0.0027,informed_leaf_spine,0.2874,local_group_workload
